"Herb names (Chinese, English)",MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OB value,Caco2 value,DL value,HL value,Total
·­°×²Ý£¨Potentillae Discoloris Herba£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Þ¨ÈÊ£¨Hedge Prinsepia Nut£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Âí³ÝÜÈ£¨Purslane Herb£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Ýæ²Ý¸ù£¨Radix hemerocallis£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Éä¸É£¨Blackberrylily Rhizome£©,MOL003753,302.3,2,3,6,50.56,0.08,-0.39,0.27,0.36,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÒøÐÓÒ¶£¨Ginkgo Leaf£©,MOL011604,346.31,1.74,4,8,36.82,0.05,-0.59,0.37,0.32,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÇàÒ¶µ¨£¨Mile Swertia Herb£©,MOL005575,288.27,2.4,2,6,72.82,0.83,-0.01,0.27,0.22,14.75,TRUE,TRUE,TRUE,TRUE,TRUE
Ü¾»¨£¨Lilac Daphne Flower Bud£©,MOL005575,288.27,2.4,2,6,72.82,0.83,-0.01,0.27,0.22,14.75,TRUE,TRUE,TRUE,TRUE,TRUE
ºìÜÎ£¨Hedysari Radix£©,MOL005575,288.27,2.4,2,6,72.82,0.83,-0.01,0.27,0.22,14.75,TRUE,TRUE,TRUE,TRUE,TRUE
è×Êµ(Immature Orange Fruit),MOL013428,594.62,-0.21,7,14,41.24,-1.59,-2.38,0.72,0.27,14.75,TRUE,FALSE,TRUE,TRUE,FALSE
¾öÃ÷×Ó(Cassia Seed),MOL006465,596.59,-1.39,8,15,40.12,-2.17,-2.97,0.67,0.22,14.76,TRUE,FALSE,TRUE,TRUE,FALSE
ÄÏÎåÎ¶×Ó,MOL009235,562.61,4.98,0,10,34.82,0.42,-0.46,0.56,0.29,14.76,TRUE,TRUE,TRUE,TRUE,TRUE
½õµÆÁý£¨Franchet Groundcherry Fruit£©,MOL007235,526.58,0.5,3,10,77.08,-0.98,-1.45,0.27,0.4,14.78,TRUE,FALSE,TRUE,TRUE,FALSE
ÍßËÉ£¨Orostachyis Fimbriatae Herba£©,MOL002823,302.25,1.5,5,7,36.07,0.12,-0.65,0.27,0.37,14.8,TRUE,TRUE,TRUE,TRUE,TRUE
ºú»ÆÁ¬(Golden Thread),MOL002823,302.25,1.5,5,7,36.07,0.12,-0.65,0.27,0.37,14.8,TRUE,TRUE,TRUE,TRUE,TRUE
Âé»Æ£¨Ephedra£©,MOL002823,302.25,1.5,5,7,36.07,0.12,-0.65,0.27,0.37,14.8,TRUE,TRUE,TRUE,TRUE,TRUE
Ä¾Ôô(Common Scouring Rush Herb),MOL002823,302.25,1.5,5,7,36.07,0.12,-0.65,0.27,0.37,14.8,TRUE,TRUE,TRUE,TRUE,TRUE
¹ãÞ½Ïã£¨Cablin Patchouli Herb£©,MOL005907,220.39,2.4,1,1,77.74,1.3,1.56,0.16,0.24,14.81,TRUE,TRUE,FALSE,TRUE,FALSE
¸Ê²Ý£¨Liquorice Root£©,MOL004805,390.51,5.48,1,4,31.79,1,0.25,0.72,0.35,14.82,TRUE,TRUE,TRUE,TRUE,TRUE
