,name,MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OBÖµ,Caco2Öµ,DLÖµ,HLÖµ,»ã×Ü
6272,µ³²Î,MOL008414,414.79,7.89,1,1,7.04,1.4,1.1,0.76,0.2,,FALSE,TRUE,TRUE,TRUE,FALSE
6273,µ³²Î,MOL008415,412.77,7.76,0,1,9.69,1.42,1.2,0.76,0.23,,FALSE,TRUE,TRUE,TRUE,FALSE
6274,µ³²Î,MOL008416,578.97,6.59,4,6,19.58,-0.44,-0.99,0.62,0,,FALSE,FALSE,TRUE,TRUE,FALSE
17906,Âé»Æ,MOL008422,274.29,2.19,4,5,28.54,0.06,-0.66,0.21,0.37,,FALSE,TRUE,TRUE,TRUE,FALSE
14535,¾Õ»¨,MOL008434,204.39,5.28,0,0,23.49,1.92,2.1,0.06,0.28,,FALSE,TRUE,FALSE,TRUE,FALSE
25590,Éú½ª,MOL008434,204.39,5.28,0,0,23.49,1.92,2.1,0.06,0.28,,FALSE,TRUE,FALSE,TRUE,FALSE
8205,¸²Åè×Ó,MOL008434,204.39,5.28,0,0,23.49,1.92,2.1,0.06,0.28,,FALSE,TRUE,FALSE,TRUE,FALSE
8207,¸²Åè×Ó,MOL008436,432.41,0.76,6,10,28.88,-0.86,-1.78,0.73,0.33,,FALSE,FALSE,TRUE,TRUE,FALSE
30458,ÒøÐÓÒ¶,MOL008436,432.41,0.76,6,10,28.88,-0.86,-1.78,0.73,0.33,,FALSE,FALSE,TRUE,TRUE,FALSE
8209,¸²Åè×Ó,MOL008438,666.94,1.36,8,11,2.38,-1.83,-2.89,0.35,0.21,,FALSE,FALSE,TRUE,TRUE,FALSE
8210,¸²Åè×Ó,MOL008439,504.78,3.26,5,6,16.96,-0.64,-1.28,0.69,0.23,,FALSE,FALSE,TRUE,TRUE,FALSE
8211,¸²Åè×Ó,MOL008440,436.45,0.75,7,10,2.88,-1.5,-1.93,0.6,0.32,,FALSE,FALSE,TRUE,TRUE,FALSE
8212,¸²Åè×Ó,MOL008441,902.88,-0.13,16,22,3.01,-3.6,-4.93,0.17,0.31,,FALSE,FALSE,FALSE,TRUE,FALSE
8213,¸²Åè×Ó,MOL008442,578.56,3.36,10,12,27.18,-1.15,-2.32,0.66,0.36,,FALSE,FALSE,TRUE,TRUE,FALSE
14536,¾Õ»¨,MOL008445,100.18,1.34,0,1,22.92,1.29,1.71,0.01,0.31,,FALSE,TRUE,FALSE,TRUE,FALSE
8216,¸²Åè×Ó,MOL008445,100.18,1.34,0,1,22.92,1.29,1.71,0.01,0.31,,FALSE,TRUE,FALSE,TRUE,FALSE
8217,¸²Åè×Ó,MOL008446,136.16,1.81,1,2,25.37,1.03,0.96,0.03,0.38,,FALSE,TRUE,FALSE,TRUE,FALSE
8218,¸²Åè×Ó,MOL008447,488.78,4.42,4,5,16.86,-0.35,-1.08,0.72,0.25,,FALSE,TRUE,TRUE,TRUE,FALSE
21237,èÁèËÒ¶,MOL008447,488.78,4.42,4,5,16.86,-0.35,-1.08,0.72,0.25,,FALSE,TRUE,TRUE,TRUE,FALSE
8221,¸²Åè×Ó,MOL008450,435.39,0.02,8,11,1.76,-1.31,-2.04,0.72,0.31,,FALSE,FALSE,TRUE,TRUE,FALSE
9986,¹í¼ýÓð,MOL008453,344.34,0.61,2,7,5.36,-0.48,-0.88,0.39,0.37,,FALSE,FALSE,TRUE,TRUE,FALSE
9188,¹³ÌÙ,MOL008454,442.75,5.99,1,3,20.69,0.73,0.19,0.69,0.27,,FALSE,TRUE,TRUE,TRUE,FALSE
9195,¹³ÌÙ,MOL008461,484.55,0.41,5,9,17.28,-0.49,-1.27,0.67,0.25,,FALSE,FALSE,TRUE,TRUE,FALSE
9196,¹³ÌÙ,MOL008462,336.42,1.98,2,4,25.48,0.53,-0.34,0.76,0.27,,FALSE,TRUE,TRUE,TRUE,FALSE
9200,¹³ÌÙ,MOL008466,382.55,3.81,1,4,14.34,1.14,0.75,0.67,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
6888,°Ë½ÇÜîÏã,MOL008479,448.41,-0.32,7,11,2.9,-1.36,-2.02,0.74,0.33,,FALSE,FALSE,TRUE,TRUE,FALSE
9213,¹³ÌÙ,MOL008479,448.41,-0.32,7,11,2.9,-1.36,-2.02,0.74,0.33,,FALSE,FALSE,TRUE,TRUE,FALSE
438,°Ë½ÇÜîÏã,MOL008479,448.41,-0.32,7,11,2.9,-1.36,-2.02,0.74,0.33,,FALSE,FALSE,TRUE,TRUE,FALSE
22725,ÈË²ÎÒ¶,MOL008479,448.41,-0.32,7,11,2.9,-1.36,-2.02,0.74,0.33,,FALSE,FALSE,TRUE,TRUE,FALSE
25851,Ê¯Î¤,MOL008479,448.41,-0.32,7,11,2.9,-1.36,-2.02,0.74,0.33,,FALSE,FALSE,TRUE,TRUE,FALSE
9216,¹³ÌÙ,MOL008483,514.63,-0.08,5,10,3.95,-0.81,-1.61,0.56,0.27,,FALSE,FALSE,TRUE,TRUE,FALSE
9219,¹³ÌÙ,MOL008486,370.49,1.67,2,6,12.71,0.08,-0.21,0.52,0.27,,FALSE,TRUE,TRUE,TRUE,FALSE
9224,¹³ÌÙ,MOL008491,795.08,1.73,8,14,7.08,-1.88,-2.74,0.14,0.21,,FALSE,FALSE,FALSE,TRUE,FALSE
9225,¹³ÌÙ,MOL008492,456.73,5.31,2,4,19.01,0.28,-0.25,0.78,0.26,,FALSE,TRUE,TRUE,TRUE,FALSE
9955,¹ãÔæ,MOL008493,220.2,-0.79,3,7,25.86,-0.66,-1.19,0.06,0.37,,FALSE,FALSE,FALSE,TRUE,FALSE
13852,¾©´óêª,MOL008494,330.26,1.99,2,8,23.53,0.02,-0.97,0.53,0.31,,FALSE,TRUE,TRUE,TRUE,FALSE
9956,¹ãÔæ,MOL008494,330.26,1.99,2,8,23.53,0.02,-0.97,0.53,0.31,,FALSE,TRUE,TRUE,TRUE,FALSE
26135,Ë®ºì»¨×Ó,MOL008494,330.26,1.99,2,8,23.53,0.02,-0.97,0.53,0.31,,FALSE,TRUE,TRUE,TRUE,FALSE
9957,¹ãÔæ,MOL008495,418.38,0.38,6,10,2.8,-1.05,-2.03,0.68,0.34,,FALSE,FALSE,TRUE,TRUE,FALSE
9958,¹ãÔæ,MOL008496,464.41,0.03,8,12,4.62,-1.35,-2.03,0.77,0.36,,FALSE,FALSE,TRUE,TRUE,FALSE
